atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station,yelp_id
2.0,1.0,9.0,2.0,,4.0,6.0,,6.0,1.0,,1.0,5.0,1.0,1.0,,,YwtjSs7ul_6RX1WnWglxIA
5.0,3.0,,13.0,,16.0,1.0,1.0,1.0,,,1.0,,,,,,Z0K_lNlqzz-aUDbvexpD5A
32.0,16.0,41.0,60.0,6.0,15.0,44.0,,19.0,1.0,2.0,30.0,9.0,,1.0,,,ZAV8c9iGKV8zWHxOpTxdYQ
37.0,17.0,39.0,45.0,6.0,21.0,53.0,1.0,14.0,3.0,2.0,37.0,5.0,3.0,2.0,,1.0,ZJw7_sCOfaUmib1Q0vBAZA
20.0,9.0,36.0,22.0,2.0,11.0,18.0,1.0,9.0,,6.0,11.0,2.0,1.0,1.0,,,ZZoP396jgh6zK7PdZbHfPg
38.0,23.0,34.0,60.0,3.0,29.0,26.0,,32.0,,2.0,26.0,7.0,1.0,,,1.0,_98MfEQ67r9-V78gmy8_Pg
60.0,60.0,44.0,39.0,7.0,26.0,60.0,2.0,23.0,1.0,13.0,53.0,7.0,5.0,1.0,,,_RWkck7niE8VJG3zLXK2ig
4.0,1.0,3.0,8.0,,11.0,1.0,3.0,,,,1.0,,,1.0,,,_S4j-74ZR4MUkWdiMlBoFQ
60.0,60.0,60.0,38.0,9.0,26.0,60.0,1.0,23.0,1.0,13.0,52.0,13.0,5.0,1.0,,,_VEQpntwiMLUbNPLvxvwzA
29.0,13.0,39.0,40.0,2.0,23.0,31.0,,19.0,3.0,3.0,42.0,3.0,2.0,,,,_muVoNc4H_H_557WJvVWWQ
60.0,60.0,59.0,52.0,10.0,29.0,60.0,2.0,26.0,1.0,6.0,36.0,8.0,3.0,3.0,,1.0,_nPHDeWqacE5BVbGvRgIrg
6.0,2.0,7.0,10.0,1.0,6.0,4.0,,3.0,,1.0,9.0,,,,,,_vsgjhqs356JqeAPsP6XOQ
15.0,8.0,24.0,4.0,1.0,14.0,18.0,,6.0,1.0,4.0,8.0,2.0,,,,,a1MOjLJXAIVmYZ2cG5gKCw
