,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
29,63124,10873,9397,301,11,405,4,10,132,157,100.2%,,43.6%,3.4%,19.1 minutes,19.8%,64.2%,1.6%,8.5%,5.9%
30,63125,33563,29326,888,67,473,13,16,472,946,85.7%,,6.4%,5.6%,25.5 minutes,32.1%,43.2%,2.0%,8.5%,14.2%
31,63126,15173,13916,237,14,413,7,14,209,302,96.4%,,17.1%,3.5%,23.8 minutes,22.4%,56.0%,1.3%,7.2%,13.1%
32,63127,4921,4502,116,4,138,0,5,83,91,98.9%,,20.1%,2.1%,21.6 minutes,20.8%,59.4%,1.2%,12.3%,6.3%
33,63128,30211,27879,273,24,472,11,14,264,419,95.3%,,14.0%,3.2%,25.4 minutes,25.0%,54.8%,0.4%,10.3%,9.6%
34,63129,55417,49262,729,52,1052,12,32,578,1001,95.0%,,12.9%,2.2%,27.2 minutes,29.0%,54.4%,1.1%,6.5%,8.9%
35,63130,29910,14969,12118,58,1303,4,75,770,787,95.7%,,34.6%,5.6%,22.4 minutes,38.9%,45.0%,2.5%,4.9%,8.7%
36,63132,14059,6412,5407,25,1098,4,28,341,673,93.2%,,25.7%,4.6%,19.7 minutes,36.8%,45.2%,1.0%,6.3%,10.6%
37,63135,21820,7525,12830,88,116,4,24,411,336,88.7%,,7.1%,8.3%,25.3 minutes,41.0%,36.8%,2.7%,5.4%,14.0%
38,63139,22388,19034,1812,50,678,6,30,429,750,93.5%,,19.1%,2.7%,21.2 minutes,39.5%,42.3%,1.4%,5.4%,11.4%
39,63141,20205,16453,1260,31,1955,12,35,344,503,98.8%,,37.6%,2.1%,21.0 minutes,26.8%,59.4%,1.2%,6.6%,6.0%
40,63143,9533,7102,1576,23,226,12,18,298,423,93.0%,,15.6%,5.6%,19.8 minutes,45.5%,37.2%,1.1%,4.0%,12.3%
41,63144,8922,7589,255,11,553,1,12,149,255,100.8%,,33.2%,1.6%,19.3 minutes,41.4%,42.5%,0.2%,5.2%,10.6%
42,77002,12031,6215,6595,29,303,3,313,87,3248,77.1%,,12.4%,3.5%,20.1 minutes,56.4%,23.4%,5.2%,1.6%,13.4%
43,77003,10241,1978,2692,19,270,0,12,110,5427,73.8%,,12.5%,6.7%,24.8 minutes,46.9%,31.3%,4.5%,5.5%,11.8%
44,77004,37407,7083,18774,61,2062,11,145,477,4079,89.4%,,24.1%,7.4%,21.1 minutes,59.7%,24.5%,2.7%,3.6%,9.5%
45,77005,28104,19474,413,41,3006,6,65,498,2025,101.0%,,49.2%,2.2%,19.6 minutes,31.0%,58.5%,0.2%,3.3%,6.9%
46,77006,22162,13731,793,33,1111,10,49,364,3573,98.7%,,36.3%,2.9%,19.4 minutes,56.6%,29.8%,2.0%,1.9%,9.8%
47,77007,35689,17445,1644,76,1854,11,56,483,9284,96.8%,,33.0%,2.1%,22.5 minutes,44.3%,40.9%,1.5%,1.9%,11.5%
